ribeira grande,Nothern,38.52,69.91,70,15,4.92
meulaboh,Nothern,4.14,74.86,90,100,4.27
cam ranh,Nothern,11.92,78.8,88,40,3.36
leningradskiy,Nothern,69.38,47.12,67,66,12.84
mao,Nothern,39.89,73.4,78,0,3.36
geraldton,Southern,-28.77,41.0,93,0,5.82
rocha,Southern,-34.48,66.72,92,100,5.48
micheweni,Southern,-4.97,75.07,69,3,14.52
leczna,Nothern,51.3,57.11,87,12,4.7
kapaa,Nothern,22.08,82.17,74,75,10.29
thinadhoo,Nothern,0.53,82.72,70,97,5.99
moba,Nothern,33.23,61.9,100,100,1.83
romitan,Nothern,39.93,82.4,42,45,11.41
tura,Nothern,25.52,73.83,97,97,3.71
burnie,Southern,-41.07,48.99,64,95,3.0
conselheiro pena,Southern,-19.17,68.76,52,0,4.54
port alfred,Southern,-33.59,63.36,40,0,9.98
pemangkat,Nothern,1.17,75.69,91,99,6.96
aripuana,Southern,-9.17,81.37,46,31,1.66
avarua,Southern,-21.21,75.2,94,2,2.24
cayenne,Nothern,4.93,80.6,78,88,2.24
ushuaia,Southern,-54.8,39.2,87,75,8.05
ust-tsilma,Nothern,65.44,62.87,76,96,5.41
bluff,Southern,-46.6,39.0,83,98,3.0
hasan abdal,Nothern,30.43,91.9,39,0,8.43
hithadhoo,Southern,-0.6,82.96,69,85,7.63
puerto del rosario,Nothern,28.5,73.4,78,2,12.75
carnarvon,Southern,-24.87,59.0,77,0,10.29
thompson,Nothern,55.74,84.2,51,40,4.7
eydhafushi,Nothern,5.1,81.09,78,100,17.72
ahuimanu,Nothern,21.44,85.66,58,75,14.99
ancud,Southern,-41.87,45.25,75,90,6.93
tabou,Nothern,4.42,75.45,87,85,9.35
sao filipe,Nothern,14.9,77.27,87,100,8.57
yar-sale,Nothern,66.83,48.45,75,90,8.86
rodbyhavn,Nothern,54.65,60.33,87,100,1.01
sorland,Nothern,67.67,52.52,86,100,26.75
hilo,Nothern,19.73,73.85,65,90,4.7
hammerfest,Nothern,70.66,48.2,100,90,3.36
mahebourg,Southern,-20.41,68.0,64,75,19.46
vostok,Nothern,46.49,60.21,100,98,0.63
arraial do cabo,Southern,-22.97,73.4,69,0,11.41
saint-philippe,Southern,-21.36,56.59,56,90,27.51
mount isa,Southern,-20.73,60.8,55,0,1.12
dongli,Nothern,23.57,80.6,88,100,2.24
caxito,Southern,-8.58,69.8,83,0,2.8
vila franca do campo,Nothern,37.72,68.0,68,40,2.24
hobart,Southern,-42.88,40.69,80,75,10.29
torbay,Nothern,47.67,67.84,56,90,13.87
barrow,Nothern,71.29,39.2,93,90,10.29
komsomolskiy,Nothern,40.43,78.8,34,15,6.93
dolinsk,Nothern,47.35,55.4,87,40,11.18
manado,Nothern,1.49,78.8,83,40,2.24
jilib,Nothern,0.49,73.53,74,42,9.35
lebu,Southern,-37.62,44.71,69,21,8.32
kruisfontein,Southern,-34.0,59.74,32,0,6.69
isangel,Southern,-19.55,75.2,88,90,6.93
bilibino,Nothern,68.05,77.94,38,1,9.48
norman wells,Nothern,65.28,62.6,55,75,5.82
paoua,Nothern,7.24,69.22,95,100,7.09
bonfim,Nothern,3.08,79.45,77,84,3.94
iqaluit,Nothern,63.75,57.2,62,90,6.93
ponta do sol,Nothern,32.67,64.71,72,0,3.6
severo-kurilsk,Nothern,50.68,49.71,90,100,3.38
puerto ayora,Southern,-0.74,70.0,91,76,3.0
dhidhdhoo,Nothern,6.88,81.54,79,100,15.9
kuytun,Nothern,54.34,56.68,77,0,5.88
tommot,Nothern,58.96,61.16,90,100,3.96
palencia,Nothern,42.42,65.34,79,35,5.99
savelugu,Nothern,9.62,78.44,78,95,6.71
nikolskoye,Nothern,59.7,52.84,71,20,4.47
ixtlan del rio,Nothern,21.03,78.01,69,47,8.08
san andres,Nothern,12.58,86.0,74,75,12.75
lorengau,Southern,-2.02,84.33,75,58,9.53
monterey,Nothern,36.25,71.96,52,0,11.5
new norfolk,Southern,-42.78,39.24,85,99,3.0
nome,Nothern,64.5,46.78,93,90,10.29
rubtsovsk,Nothern,51.5,60.31,69,86,3.58
cabo san lucas,Nothern,22.89,87.89,58,5,18.34
kavieng,Southern,-2.57,83.82,74,52,8.46
andenes,Nothern,69.31,50.0,93,100,16.11
khatanga,Nothern,71.97,42.12,91,100,17.65
minas novas,Southern,-17.22,62.78,61,0,4.97
luderitz,Southern,-26.65,71.6,26,0,10.29
pochutla,Nothern,15.74,73.4,88,75,11.41
isla mujeres,Nothern,21.23,86.74,70,75,13.87
esperance,Southern,-33.87,41.0,93,40,5.82
korla,Nothern,41.76,69.26,55,0,9.01
houston,Nothern,29.76,93.22,52,20,14.99
waddan,Nothern,29.16,73.04,56,0,9.64
east london,Southern,-33.02,62.53,44,0,8.01
kodiak,Nothern,57.79,57.2,71,90,3.53
richards bay,Southern,-28.78,59.52,78,0,5.61
bianzhuang,Nothern,34.85,69.35,78,57,6.55
cambrai,Nothern,50.17,62.65,58,83,1.01
hun,Nothern,29.13,72.32,56,0,4.25
saldanha,Southern,-33.01,53.6,71,0,12.75
luganville,Southern,-15.53,82.4,78,75,9.17
itarema,Southern,-2.92,78.94,75,67,14.72
starkville,Nothern,33.45,91.98,52,40,4.7
pak chong,Nothern,14.71,74.1,88,100,2.19
hambantota,Nothern,6.12,79.68,79,53,13.4
husavik,Nothern,66.04,46.4,75,75,11.41
khushab,Nothern,32.3,91.17,37,0,3.74
cidreira,Southern,-30.18,64.76,79,99,10.87
karratha,Southern,-20.74,67.3,42,0,6.55
ostrovnoy,Nothern,68.05,59.2,90,80,6.31
saint-pierre,Southern,-21.34,57.87,56,90,27.51
ballina,Southern,-28.87,58.39,100,75,5.82
halifax,Nothern,44.65,68.67,86,95,4.61
ambanja,Southern,-13.68,67.78,69,63,3.98
talnakh,Nothern,69.49,46.4,87,85,24.61
clinton,Nothern,42.59,78.87,61,40,11.41
pokhara,Nothern,28.23,70.48,86,99,1.7
wanning,Nothern,18.8,81.21,81,44,4.94
gigmoto,Nothern,13.78,84.0,74,96,3.96
luwuk,Southern,-0.95,77.0,79,84,6.69
camacha,Nothern,33.08,69.8,73,40,12.75
clearwater,Nothern,27.97,76.48,94,40,14.7
mason city,Nothern,43.15,79.9,65,40,10.29
ilulissat,Nothern,69.22,53.6,62,100,3.36
innisfail,Southern,-17.53,61.0,94,62,3.0
khash,Nothern,28.22,68.97,53,0,1.54
debre tabor,Nothern,11.85,51.44,100,96,3.49
denpasar,Southern,-8.65,77.0,100,20,16.11
santa quiteria,Southern,-4.33,78.28,59,82,4.74
paamiut,Nothern,61.99,47.7,91,100,6.4
fortuna,Nothern,40.6,62.19,87,1,16.11
coquimbo,Southern,-29.95,53.6,81,86,6.93
catio,Nothern,11.28,77.99,89,100,6.58
brae,Nothern,60.4,53.6,93,3,5.82
bredasdorp,Southern,-34.53,44.6,100,0,5.82
hamilton,Nothern,39.18,82.38,74,40,8.05
cherskiy,Nothern,68.75,69.35,59,11,10.04
chuy,Southern,-33.7,66.6,89,99,7.67
saskylakh,Nothern,71.92,55.92,86,94,5.84
paita,Southern,-5.09,65.75,77,1,19.26
port lincoln,Southern,-34.73,52.99,56,0,21.32
kutoarjo,Southern,-7.72,71.35,88,100,2.91
codrington,Southern,-38.27,42.66,81,100,13.11
pisco,Southern,-13.7,65.68,72,0,12.75
hualmay,Southern,-11.1,62.96,81,36,10.83
suez,Nothern,29.97,76.14,76,0,8.25
oktyabrskoye,Nothern,43.06,71.29,68,54,4.47
lata,Nothern,40.16,66.52,71,0,3.0
chokurdakh,Nothern,70.63,74.01,51,44,4.09
sistranda,Nothern,63.73,51.39,81,40,11.41
salym,Nothern,60.06,52.61,86,100,3.44
maceio,Southern,-9.67,73.4,78,55,3.36
knin,Nothern,44.04,66.0,69,0,1.99
chancay,Southern,-11.57,62.6,77,90,4.7
mandan,Nothern,46.83,84.6,74,20,21.92
shahrud,Nothern,36.42,71.62,64,27,8.86
pinar del rio,Nothern,22.42,77.94,87,100,7.7
clyde river,Nothern,70.47,50.0,66,75,5.82
laguna,Nothern,38.42,90.55,27,5,8.05
san quintin,Nothern,30.48,70.36,63,0,13.8
airai,Southern,-8.93,55.98,63,61,3.13
kathmandu,Nothern,27.72,69.8,100,75,0.72
uthal,Nothern,25.81,84.47,74,35,10.47
asosa,Nothern,10.07,60.51,96,100,3.04
padang,Southern,-0.95,76.95,78,100,3.58
villa carlos paz,Southern,-31.42,45.18,75,64,4.7
winneba,Nothern,5.35,77.0,94,90,12.75
cape town,Southern,-33.93,51.96,93,0,3.36
guerrero negro,Nothern,27.98,73.9,56,1,17.87
kimparana,Nothern,12.83,84.31,62,80,10.74
broken hill,Southern,-31.95,46.4,70,4,11.41
aklavik,Nothern,68.22,62.6,48,20,12.75
khani,Nothern,41.96,73.4,88,75,4.7
kuvandyk,Nothern,51.48,59.07,93,79,11.3
priekule,Nothern,56.45,53.6,93,48,1.12
katsuura,Nothern,35.13,75.18,93,99,1.07
quelimane,Southern,-17.88,64.92,90,59,5.39
biograd na moru,Nothern,43.94,69.66,82,1,1.12
provideniya,Nothern,64.38,53.6,66,91,8.95
saint-joseph,Southern,-21.37,57.81,56,90,27.51
kazachinskoye,Nothern,57.7,48.38,81,0,3.74
newcastle,Southern,-32.93,50.04,100,75,6.93
praia,Nothern,14.92,80.6,74,20,6.93
na wa,Nothern,17.49,83.52,77,73,1.32
caravelas,Southern,-17.71,72.7,82,34,7.83
samarai,Southern,-10.62,78.4,85,67,12.71
kokkola,Nothern,63.84,52.23,81,75,12.75
kaitangata,Southern,-46.28,44.01,69,90,10.0
moose factory,Nothern,51.26,82.4,42,1,4.7
salalah,Nothern,17.02,78.8,94,75,8.05
broome,Nothern,42.25,72.39,83,75,4.7
manono,Southern,-7.3,69.21,35,0,5.17
oktyabrskiy,Nothern,54.48,56.39,96,94,4.52
san patricio,Nothern,19.22,82.4,74,75,6.8
vetluzhskiy,Nothern,58.39,52.23,97,96,4.9
pevek,Nothern,69.7,47.16,73,19,11.59
fasa,Nothern,28.94,78.8,47,0,0.76
el bagre,Nothern,7.59,79.47,87,76,2.26
puerto leguizamo,Southern,-0.19,76.69,83,55,1.36
staraya toropa,Nothern,56.28,49.33,96,100,5.06
port-gentil,Southern,-0.72,75.2,88,20,10.31
verkhoyansk,Nothern,67.54,77.04,39,0,10.94
baturaja,Southern,-4.13,72.14,95,88,1.57
tambovka,Nothern,50.1,68.0,88,75,13.42
kamenka,Nothern,51.32,56.5,69,15,4.81
basco,Nothern,20.45,84.99,80,92,8.59
luangwa,Southern,-15.62,55.94,73,52,3.8
asyut,Nothern,27.18,84.2,45,0,9.17
kaset sombun,Nothern,16.28,75.61,82,91,1.97
altay,Nothern,47.87,58.68,59,55,2.93
wakkanai,Nothern,45.41,59.4,92,100,18.43
peniche,Nothern,39.36,64.35,90,0,8.01
maputo,Southern,-25.97,61.03,72,12,5.91
alofi,Southern,-19.06,77.0,88,75,16.11
puri,Nothern,19.8,80.6,94,75,6.51
paraiso,Nothern,9.84,69.73,88,75,5.82
togur,Nothern,58.36,50.09,97,9,5.97
capoterra,Nothern,39.18,78.64,61,0,8.05
gorahun,Nothern,7.47,72.1,98,100,2.82
caernarfon,Nothern,53.14,57.07,100,95,3.36
maymyo,Nothern,22.03,80.6,78,40,8.05
hailun,Nothern,47.45,73.08,75,48,3.96
vrangel,Nothern,42.73,66.09,84,100,6.02
namie,Nothern,37.48,73.35,79,100,1.92
muskogee,Nothern,35.58,89.85,62,1,6.76
la ronge,Nothern,55.1,77.0,73,75,11.41
solton,Nothern,52.84,55.44,92,53,1.1
acari,Southern,-15.43,61.38,69,27,5.7
loa janan,Southern,-0.58,73.11,98,100,2.51
lompoc,Nothern,34.64,68.9,56,0,16.11
kangavar,Nothern,34.5,66.63,27,6,0.83
pavilosta,Nothern,56.89,56.82,93,24,1.12
riyadh,Nothern,24.69,91.4,41,11,2.24
strezhevoy,Nothern,60.73,51.8,87,3,2.24
nanortalik,Nothern,60.14,45.63,92,100,10.51
roald,Nothern,62.58,49.69,76,0,17.22
ambon,Southern,-3.7,76.23,100,20,3.36
tahe,Nothern,52.33,70.29,87,100,3.47
bambous virieux,Southern,-20.34,67.51,64,75,19.46
vestmannaeyjar,Nothern,63.44,50.23,85,45,17.58
viedma,Southern,-40.81,43.0,93,100,10.0
pangnirtung,Nothern,66.15,55.4,82,90,4.7
los llanos de aridane,Nothern,28.66,71.6,78,20,18.34
bethel,Nothern,41.37,82.74,66,1,10.29
auki,Southern,-8.77,84.69,70,31,5.73
igrim,Nothern,63.19,51.03,76,99,5.46
ojinaga,Nothern,29.57,96.12,27,75,4.7
sarh,Nothern,9.14,71.94,93,100,2.91
tazovskiy,Nothern,67.47,44.02,80,0,14.38
kushima,Nothern,31.46,78.48,83,75,14.99
sao joao da barra,Southern,-21.64,71.01,81,0,10.29
canutama,Southern,-6.53,81.3,59,42,0.6
paka,Nothern,4.64,77.0,94,100,2.24
souillac,Southern,-20.52,68.0,64,75,19.46
banjar,Southern,-8.19,77.0,100,20,16.11
tambopata,Southern,-12.73,79.3,72,53,2.8
cangzhou,Nothern,38.32,77.77,62,0,6.91
santa maria,Southern,-29.68,77.0,57,100,3.36
sidi ali,Nothern,36.1,70.18,81,0,3.15
ormara,Nothern,25.21,84.24,81,52,20.0
ixtapa,Nothern,20.7,86.0,74,75,14.99
zhuhai,Nothern,22.28,85.15,89,20,3.36
comodoro rivadavia,Southern,-45.87,33.8,64,0,8.05
el alto,Southern,-4.27,64.81,80,2,21.05
flinders,Southern,-34.58,51.82,93,44,4.0
mezen,Nothern,65.85,60.64,89,97,9.1
frontino,Nothern,6.78,65.21,90,99,2.68
san martin,Southern,-33.08,42.8,60,20,5.82
mecca,Nothern,21.43,83.23,58,77,1.88
vao,Southern,-22.67,69.57,80,4,17.38
sobolevo,Nothern,54.43,47.89,94,3,6.98
de-kastri,Nothern,51.47,54.79,78,100,7.18
nouadhibou,Nothern,20.93,75.2,73,19,17.22
anshun,Nothern,26.25,67.06,98,57,9.44
neverkino,Nothern,52.79,53.49,86,1,7.07
vung tau,Nothern,10.35,78.53,83,100,10.02
kuala terengganu,Nothern,5.33,77.0,94,40,3.36
changchun,Nothern,43.88,71.6,88,54,2.24
ocean springs,Nothern,30.41,80.85,88,75,12.75
olafsvik,Nothern,64.89,46.74,72,19,18.88
la roche-sur-yon,Nothern,46.67,62.6,67,25,5.82
mahibadhoo,Nothern,3.78,81.32,75,100,10.42
taseyevo,Nothern,57.22,51.49,86,59,3.04
rorvik,Nothern,64.86,54.81,76,100,21.16
kholodnyy,Nothern,62.72,72.57,44,23,1.72
ambilobe,Southern,-13.2,66.85,70,69,3.6
christchurch,Southern,-43.53,45.27,59,0,3.36
mount gambier,Southern,-37.83,37.4,93,99,10.29
zhangjiakou,Nothern,40.81,72.19,58,67,0.96
omboue,Southern,-1.57,72.61,84,77,5.79
awjilah,Nothern,29.11,76.23,66,0,14.83
itoman,Nothern,26.12,84.83,84,75,10.29
tainan,Nothern,22.99,80.6,83,40,5.82
santa rosa,Nothern,14.31,81.99,94,100,3.33
montepuez,Southern,-13.13,61.79,71,3,9.26
port hardy,Nothern,50.7,60.8,82,90,2.24
sept-iles,Nothern,50.2,67.12,72,75,6.93
iquitos,Southern,-3.75,84.2,79,40,3.36
lubao,Nothern,14.92,81.39,94,20,6.93
northam,Nothern,51.03,60.64,97,75,7.0
namibe,Southern,-15.2,66.29,75,1,3.24
japura,Southern,-0.32,72.23,97,93,1.83
turukhansk,Nothern,65.82,53.98,74,92,7.31
cheremnoye,Nothern,53.17,55.4,82,75,6.71
bay roberts,Nothern,47.6,66.69,68,100,1.01
ishigaki,Nothern,24.34,84.2,89,75,8.05
inhambane,Southern,-23.86,63.81,78,5,10.25
honiara,Southern,-9.43,86.0,70,20,11.41
srednekolymsk,Nothern,67.45,84.0,32,70,6.93
anadyr,Nothern,64.75,57.09,76,20,4.47
atar,Nothern,20.52,96.39,30,0,9.64
bjorkelangen,Nothern,59.88,51.35,88,7,0.2
lazaro cardenas,Nothern,17.96,85.19,67,41,7.07
madimba,Southern,-10.4,72.19,78,15,12.39
balintore,Nothern,57.76,57.63,82,56,10.29
konakovo,Nothern,56.7,47.59,96,16,5.06
aracati,Southern,-4.56,79.47,77,35,13.02
krasnovishersk,Nothern,60.41,54.45,68,80,5.06
behbahan,Nothern,30.6,86.0,42,0,3.33
shingu,Nothern,33.73,77.05,83,100,2.73
san carlos de bariloche,Southern,-41.15,21.2,85,20,6.93
marabba,Nothern,12.35,77.25,74,99,13.91
chernyshevsk,Nothern,52.52,68.16,89,100,3.65
sananduva,Southern,-27.95,60.58,83,100,2.84
nuuk,Nothern,64.18,51.39,81,99,3.36
chabahar,Nothern,25.29,84.25,78,78,7.25
winona,Nothern,43.97,77.95,57,40,5.82
fairbanks,Nothern,64.84,62.65,63,75,3.36
jagannathpur,Nothern,22.23,74.71,93,99,2.68
bauchi,Nothern,10.5,72.59,89,72,0.36
tacuarembo,Southern,-31.73,62.4,92,100,6.46
sakaiminato,Nothern,35.55,75.2,94,75,6.93
naifaru,Nothern,5.44,81.23,77,100,12.75
tomatlan,Nothern,19.93,86.05,64,80,9.8
cervo,Nothern,43.67,59.52,89,49,1.48
urucara,Southern,-2.54,81.81,59,18,1.7
sitka,Nothern,57.05,57.2,87,75,6.93
bilma,Nothern,18.69,89.38,14,0,8.9
cascais,Nothern,38.7,66.67,78,0,17.0
half moon bay,Nothern,37.46,72.81,53,5,9.17
savannah bight,Nothern,16.45,84.72,75,85,20.69
hinton,Nothern,53.4,68.07,47,100,2.48
byron bay,Southern,-28.65,57.31,100,75,5.82
buraydah,Nothern,26.33,93.2,44,1,6.93
juneau,Nothern,58.3,62.6,72,75,8.05
aransas pass,Nothern,27.91,90.72,59,1,16.11
quatre cocos,Southern,-20.21,67.46,64,75,19.46
north bend,Nothern,43.41,65.75,68,1,14.99
dunedin,Southern,-45.87,45.0,57,59,23.0
sur,Nothern,22.57,84.7,69,51,17.0
barcelos,Nothern,41.54,68.67,93,1,4.7
pa daet,Nothern,19.5,75.09,100,20,0.38
nogliki,Nothern,51.83,53.24,84,100,8.1
hofn,Nothern,64.25,49.68,69,97,5.35
shiozawa,Nothern,37.03,75.33,88,100,0.65
dinar,Nothern,38.06,73.4,35,0,10.29
yulara,Southern,-25.24,37.4,74,0,5.82
fengrun,Nothern,39.83,78.13,60,0,6.33
vila velha,Southern,-20.33,70.95,83,0,4.83
ust-karsk,Nothern,52.7,69.17,86,98,1.72
veroia,Nothern,40.52,76.53,58,9,4.0
zhanaozen,Nothern,43.3,74.91,33,0,6.69
derzhavinsk,Nothern,51.1,65.21,65,2,3.94
condega,Nothern,13.37,80.6,57,40,3.69
soubre,Nothern,5.79,70.93,96,66,2.66
durgapur,Nothern,23.48,81.77,84,99,4.94
kamiichi,Nothern,36.7,71.83,94,75,2.24
tottori,Nothern,35.5,75.2,94,75,6.93
kodinsk,Nothern,58.69,54.34,83,76,2.93
setermoen,Nothern,68.86,48.2,93,100,5.82
longyearbyen,Nothern,78.22,46.4,93,75,10.29
angoram,Southern,-4.06,79.72,85,54,2.93
prince rupert,Nothern,54.32,53.6,100,90,6.93
alingsas,Nothern,57.93,54.09,82,75,6.93
concepcion,Southern,-36.83,51.8,53,58,5.82
vanavara,Nothern,60.34,54.48,79,77,4.79
havoysund,Nothern,71.0,48.2,100,90,3.36
honningsvag,Nothern,70.98,51.93,93,79,0.43
roseburg,Nothern,43.22,80.6,36,1,9.17
yerbogachen,Nothern,61.28,58.62,85,0,5.5
mitsamiouli,Southern,-11.38,75.85,64,6,12.75
artyom,Nothern,40.47,69.8,77,29,1.92
cedar city,Nothern,37.68,84.2,23,75,11.41
mansa,Nothern,29.98,86.11,47,0,6.02
dongsheng,Nothern,39.82,68.45,64,0,13.24
michurinsk,Nothern,52.9,50.0,71,33,4.47
pandan,Nothern,14.05,83.39,75,92,4.23
dovers,Nothern,12.88,82.4,78,75,3.36
haapiti,Southern,-17.57,77.0,78,75,6.93
tuatapere,Southern,-46.13,39.0,83,71,3.0
znamenskoye,Nothern,57.13,48.36,84,0,2.46
wellington,Southern,-41.29,49.44,71,5,8.05
beringovskiy,Nothern,63.05,52.18,67,93,4.14
kaeo,Southern,-35.1,60.01,3,4,4.0
floriano,Southern,-6.77,79.48,45,96,7.11
praia da vitoria,Nothern,38.73,71.6,68,20,3.96
cabatuan,Nothern,10.88,79.48,84,100,2.62
odweyne,Nothern,9.41,72.3,56,10,12.03
sisimiut,Nothern,66.94,50.76,75,78,8.05
faanui,Southern,-16.48,77.77,80,1,18.88
sinnamary,Nothern,5.38,78.82,83,85,6.55
santa,Nothern,17.49,79.81,78,70,4.16
mandalgovi,Nothern,45.76,70.38,55,97,5.73
zhuanghe,Nothern,39.7,71.71,73,100,11.39
dickinson,Nothern,29.46,91.53,49,40,11.41
khasan,Nothern,42.43,66.45,89,100,4.94
marsh harbour,Nothern,26.54,83.41,77,9,15.86
ordu,Nothern,40.91,73.4,100,75,4.7
carlsbad,Nothern,33.16,73.04,56,1,9.17
alice springs,Southern,-23.7,41.0,44,0,4.7
kefalos,Nothern,36.75,75.2,73,0,10.29
mbala,Southern,-8.84,52.92,69,12,12.71
dwarka,Nothern,22.24,83.98,81,81,16.31
muros,Nothern,42.78,63.0,74,75,8.52
hami,Nothern,42.8,72.7,52,76,2.93
lafia,Nothern,8.48,73.81,94,48,4.36
tautira,Southern,-17.73,77.0,78,75,6.93
solnechnyy,Nothern,50.72,62.91,77,49,6.87
sydney,Southern,-33.87,50.68,87,20,8.05
gunjur,Nothern,13.2,80.6,88,75,3.36
pechenga,Nothern,69.53,55.4,93,20,10.29
floro,Nothern,61.6,53.6,66,0,6.93
mwinilunga,Southern,-11.74,49.44,57,0,3.71
touros,Southern,-5.2,77.0,83,75,9.17
margate,Nothern,51.38,64.38,67,74,4.0
svetlyy,Nothern,54.67,51.8,93,20,6.71
gornopravdinsk,Nothern,60.05,52.97,81,99,3.58
divnomorskoye,Nothern,44.5,70.21,46,0,13.38
hobyo,Nothern,5.35,76.71,73,90,26.4
kalemie,Southern,-5.95,68.49,56,0,3.94
nago,Nothern,26.59,84.13,83,1,8.05
astaneh-ye ashrafiyeh,Nothern,37.26,73.4,100,10,4.7
kindu,Southern,-2.95,77.38,54,85,1.32
morros,Southern,-9.45,77.79,46,100,6.73
ornskoldsvik,Nothern,63.29,51.8,93,90,9.17
kamariotissa,Nothern,40.48,75.2,64,0,11.41
rodino,Nothern,52.5,58.95,81,57,6.02
uyovu,Southern,-3.28,66.4,55,0,5.44
kajaani,Nothern,64.23,53.6,93,90,3.36
aljezur,Nothern,37.32,76.03,49,0,8.48
jorhat,Nothern,26.75,75.94,96,100,3.53
road town,Nothern,18.42,82.83,83,75,9.17
kristinehamn,Nothern,59.31,53.06,81,19,4.7
kaupanger,Nothern,61.18,41.0,89,16,1.99
hasaki,Nothern,35.73,75.47,88,75,3.36
dingle,Nothern,11.0,79.84,83,100,2.86
smithers,Nothern,54.78,57.2,76,90,7.0
muravlenko,Nothern,63.79,48.2,76,57,11.5
nishihara,Nothern,26.18,84.63,83,40,9.17
ugoofaaru,Nothern,5.67,81.46,77,100,16.02
asau,Nothern,46.43,61.0,98,25,3.89
gamba,Southern,-2.65,71.04,84,76,3.83
new richmond,Nothern,45.12,76.6,53,1,7.27
kudahuvadhoo,Nothern,2.67,82.6,74,100,8.79
tateyama,Nothern,34.98,74.98,100,98,2.37
ocos,Nothern,14.51,76.05,94,90,9.17
koslan,Nothern,63.46,58.5,86,92,4.7
abu samrah,Nothern,35.3,74.46,62,0,7.81
petukhovo,Nothern,55.07,58.53,89,100,15.7
rosetta,Nothern,31.4,77.0,88,20,9.17
manicore,Southern,-5.81,84.2,74,68,2.24
hervey bay,Southern,-25.3,60.01,96,48,8.01
nacogdoches,Nothern,31.6,89.55,62,40,5.82
sola,Southern,-13.88,80.1,83,36,18.59
mkushi,Southern,-13.62,49.17,77,0,7.96
hasuda,Nothern,35.98,80.01,87,100,2.3
coihueco,Southern,-36.62,48.2,76,75,3.36
mizdah,Nothern,31.45,68.5,60,0,6.55
rawson,Southern,-43.3,39.07,74,97,5.46
kamoke,Nothern,31.97,82.4,69,0,6.93
kelo,Nothern,9.31,74.59,86,100,5.08
gao,Nothern,16.64,91.09,38,59,15.52
vaitape,Southern,-16.52,78.57,79,1,18.92
haimen,Nothern,23.19,80.6,88,100,2.24
kidal,Nothern,18.44,92.16,33,60,10.42
college,Nothern,64.86,62.78,52,75,13.87
doka,Nothern,13.52,72.81,81,100,12.39
krasnoselkup,Nothern,65.7,47.59,74,60,15.52
pringsewu,Southern,-5.36,71.51,92,91,0.31
magadan,Nothern,59.57,60.13,67,100,5.17
caconda,Southern,-13.73,47.84,50,0,2.75
rexburg,Nothern,43.83,81.07,35,1,6.93
