City,Hemisphere,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Date
Aksarka,Northern,66.56,67.8,51.93,51.93,70,100,12.35,RU,07/28/2020
Muğla Province,Northern,37.23,28.36,78.8,68.0,77,0,2.24,TR,07/28/2020
Lavumisa,Southern,-27.31,31.89,57.2,57.2,100,47,1.12,SZ,07/28/2020
Quesnel,Northern,53.0,-122.5,86.0,86.0,37,20,4.7,CA,07/28/2020
Bad Doberan,Northern,54.11,11.9,63.0,62.6,82,75,10.29,DE,07/28/2020
Provideniya,Northern,64.38,-173.3,53.6,53.6,81,40,13.42,RU,07/28/2020
Zavitinsk,Northern,50.12,129.45,80.83,80.83,67,0,8.7,RU,07/28/2020
Rosetta,Northern,31.4,30.42,76.44,76.44,80,0,10.07,EG,07/28/2020
Abu Dhabi,Northern,24.47,54.37,98.6,98.6,35,90,9.17,AE,07/28/2020
Clyde River,Northern,70.47,-68.59,41.0,41.0,100,90,11.41,CA,07/28/2020
Avarua,Southern,-21.21,-159.78,73.4,73.4,73,23,9.17,CK,07/28/2020
Saint-Pierre,Southern,-21.34,55.48,68.0,57.0,82,90,4.7,RE,07/28/2020
Jinxiang,Northern,22.86,115.7,90.16,90.16,61,11,9.51,CN,07/28/2020
Uppsala County,Northern,60.0,17.75,54.0,53.6,100,4,3.36,SE,07/28/2020
Torbay,Northern,47.67,-52.73,59.0,55.0,100,90,8.05,CA,07/28/2020
Ust-Kuyga,Northern,70.02,135.6,50.05,50.05,63,100,9.48,RU,07/28/2020
Monticello,Northern,45.31,-93.79,73.4,69.01,56,1,6.11,US,07/28/2020
Kokologo,Northern,12.19,-1.89,71.6,71.6,100,20,10.29,BF,07/28/2020
San Cristobal,Northern,7.77,-72.22,67.41,67.41,81,52,0.78,VE,07/28/2020
Thompson,Northern,55.74,-97.86,59.0,59.0,77,75,5.82,CA,07/28/2020
Bluff,Southern,-46.6,168.33,48.0,48.0,83,100,4.41,NZ,07/28/2020
Zhigansk,Northern,66.77,123.37,54.97,54.97,65,41,17.67,RU,07/28/2020
Khatanga,Northern,71.97,102.5,55.71,55.71,52,0,5.37,RU,07/28/2020
Fortuna,Northern,40.6,-124.16,61.0,55.99,88,92,1.99,US,07/28/2020
Simao,Northern,22.79,100.97,70.63,70.63,86,79,2.51,CN,07/28/2020
Rosarito,Northern,32.33,-117.03,70.0,69.8,77,5,16.11,MX,07/28/2020
Vyartsilya,Northern,62.18,30.69,55.04,55.04,81,70,2.17,RU,07/28/2020
Almaznyy,Northern,48.04,40.05,73.4,73.4,46,20,13.42,RU,07/28/2020
Altay,Northern,47.87,88.12,67.14,67.14,50,100,4.0,CN,07/28/2020
Kupang,Southern,-10.17,123.58,82.4,82.4,61,40,12.75,ID,07/28/2020
Mount Gambier,Southern,-37.83,140.77,57.22,57.22,60,53,2.08,AU,07/28/2020
Rio Grande,Southern,-32.03,-52.1,52.0,52.0,96,100,5.91,BR,07/28/2020
Corralillo,Northern,22.98,-80.59,79.63,79.63,88,0,10.25,CU,07/28/2020
Borzna,Northern,51.25,32.43,63.75,63.75,80,83,4.52,UA,07/28/2020
Lorengau,Southern,-2.02,147.27,84.24,84.24,71,71,1.86,PG,07/28/2020
Narsaq,Northern,60.92,-46.05,46.4,46.4,93,100,4.7,GL,07/28/2020
Oktyabr'skiy,Northern,54.48,53.47,59.88,59.88,82,0,3.78,RU,07/28/2020
Tuatapere,Southern,-46.13,167.68,48.0,48.0,83,100,2.53,NZ,07/28/2020
Dunedin,Southern,-45.87,170.5,55.99,51.01,56,100,1.01,NZ,07/28/2020
Nanjing,Northern,32.06,118.78,79.0,77.0,100,90,4.47,CN,07/28/2020
Sindor,Northern,62.86,51.89,65.43,65.43,69,66,3.2,RU,07/28/2020
Claveria,Northern,18.61,121.08,87.42,87.42,67,27,6.87,PH,07/28/2020
Qasigiannguit,Northern,68.82,-51.19,42.8,42.8,81,100,1.12,GL,07/28/2020
Batticaloa,Northern,7.71,81.69,78.03,78.03,81,100,9.95,LK,07/28/2020
Makakilo City,Northern,21.35,-158.09,87.8,82.4,45,1,10.29,US,07/28/2020
Nabire,Southern,-3.37,135.48,84.29,84.29,71,100,5.03,ID,07/28/2020
Manzhouli,Northern,49.6,117.43,75.87,75.87,58,97,17.22,CN,07/28/2020
Lázaro Cárdenas,Northern,17.96,-102.2,80.74,80.74,76,100,3.38,MX,07/28/2020
Sitka,Northern,57.05,-135.33,57.2,57.2,82,75,5.82,US,07/28/2020
Banjar,Southern,-8.19,114.97,80.6,80.6,74,40,19.46,ID,07/28/2020
Salinas,Northern,36.68,-121.66,66.2,59.0,68,20,12.75,US,07/28/2020
Batemans Bay,Southern,-35.72,150.18,60.01,55.0,83,100,3.0,AU,07/28/2020
Pevek,Northern,69.7,170.31,35.31,35.31,86,0,11.45,RU,07/28/2020
Amga,Northern,60.9,131.96,67.87,67.87,81,93,4.12,RU,07/28/2020
Maralal,Northern,1.1,36.7,58.08,58.08,93,97,4.09,KE,07/28/2020
Namatanai,Southern,-3.67,152.43,85.05,85.05,68,12,7.61,PG,07/28/2020
Sept-Îles,Northern,50.2,-66.38,63.0,61.0,88,40,5.26,CA,07/28/2020
Vestmanna,Northern,62.16,-7.17,46.4,46.4,93,78,14.99,FO,07/28/2020
Baiyin,Northern,36.56,104.21,75.2,75.2,38,8,8.95,CN,07/28/2020
Prainha,Southern,-1.8,-53.48,76.82,76.82,69,0,2.13,BR,07/28/2020
Ladysmith,Northern,48.98,-123.82,87.8,80.01,38,20,6.93,CA,07/28/2020
Shenjiamen,Northern,29.96,122.3,80.96,80.96,86,100,16.71,CN,07/28/2020
Mnogovershinnyy,Northern,53.94,139.92,76.51,76.51,53,78,5.57,RU,07/28/2020
Cabo San Lucas,Northern,22.89,-109.91,86.0,77.0,69,40,11.41,MX,07/28/2020
Panacan,Northern,9.25,118.41,84.74,84.74,69,100,2.26,PH,07/28/2020
Redmond,Northern,47.67,-122.12,88.0,80.01,43,0,1.01,US,07/28/2020
Te Anau,Southern,-45.42,167.72,47.86,47.86,74,100,0.43,NZ,07/28/2020
Olafsvik,Northern,64.89,-23.71,47.84,47.84,77,78,4.7,IS,07/28/2020
Broome,Northern,42.25,-75.83,73.99,71.01,83,1,4.7,US,07/28/2020
Tura,Northern,25.52,90.22,79.18,79.18,92,100,4.72,IN,07/28/2020
Sakakah,Northern,29.97,40.21,91.4,91.4,14,5,9.17,SA,07/28/2020
Jiuquan,Northern,39.74,98.52,89.4,89.4,15,0,11.54,CN,07/28/2020
Leningradskiy,Northern,69.38,178.42,38.44,38.44,75,20,10.27,RU,07/28/2020
Pitimbu,Southern,-7.47,-34.81,75.07,75.07,81,31,15.17,BR,07/28/2020
Severo-Kuril'sk,Northern,50.68,156.12,55.4,55.4,81,58,17.43,RU,07/28/2020
Nouadhibou,Northern,20.93,-17.03,73.4,73.4,88,0,5.82,MR,07/28/2020
Belaya Gora,Northern,68.53,146.42,51.35,51.35,64,100,7.65,RU,07/28/2020
Tual,Southern,-5.67,132.75,78.82,78.82,81,19,20.87,ID,07/28/2020
Meulaboh,Northern,4.14,96.13,75.24,75.24,94,100,3.09,ID,07/28/2020
Tiksi,Northern,71.69,128.87,40.14,40.14,85,100,17.07,RU,07/28/2020
Iqaluit,Northern,63.75,-68.51,59.0,59.0,77,75,4.7,CA,07/28/2020
Olinda,Southern,-8.01,-34.86,78.8,78.8,69,75,11.41,BR,07/28/2020
Deputatsky,Northern,69.3,139.9,48.42,48.42,64,99,7.18,RU,07/28/2020
Klungkung,Southern,-8.53,115.4,80.6,80.6,74,40,19.46,ID,07/28/2020
Blackfoot,Northern,43.19,-112.34,93.2,81.0,14,40,6.8,US,07/28/2020
Sahuaripa,Northern,29.05,-109.23,83.84,83.84,66,52,11.45,MX,07/28/2020
Ilulissat,Northern,69.22,-51.1,42.8,42.8,81,99,1.12,GL,07/28/2020
Atbasar,Northern,51.8,68.33,60.93,60.93,74,99,12.53,KZ,07/28/2020
Akhnūr,Northern,32.87,74.73,82.4,82.4,78,75,4.7,IN,07/28/2020
Haines Junction,Northern,60.75,-137.51,56.86,56.86,56,100,4.61,CA,07/28/2020
Nikolskoye,Northern,59.7,30.79,57.2,55.99,87,58,4.47,RU,07/28/2020
Esil,Northern,51.96,66.4,61.86,61.86,69,12,14.23,KZ,07/28/2020
Sioux Lookout,Northern,50.1,-91.92,59.0,59.0,93,90,4.7,CA,07/28/2020
Shache,Northern,38.42,77.24,85.51,85.51,14,0,12.5,CN,07/28/2020
Tommot,Northern,58.96,126.29,85.01,85.01,53,25,5.75,RU,07/28/2020
Along,Northern,28.17,94.77,78.01,78.01,86,100,1.05,IN,07/28/2020
Pacific Grove,Northern,36.62,-121.92,62.6,59.0,77,75,6.93,US,07/28/2020
Freeport,Northern,40.66,-73.58,87.01,81.0,62,1,6.93,US,07/28/2020
Comodoro Rivadavia,Southern,-45.87,-67.5,39.2,39.2,64,0,10.29,AR,07/28/2020
Fort Nelson,Northern,58.81,-122.7,64.4,64.4,72,75,5.82,CA,07/28/2020
Tuktoyaktuk,Northern,69.45,-133.04,59.0,59.0,77,90,13.87,CA,07/28/2020
Tilichiki,Northern,60.47,166.1,66.74,66.74,53,0,10.49,RU,07/28/2020
Port Blair,Northern,11.67,92.75,84.11,84.11,77,100,12.93,IN,07/28/2020
Fairbanks,Northern,64.84,-147.72,59.0,52.0,82,90,6.93,US,07/28/2020
Flinders,Southern,-34.58,150.86,62.01,59.0,83,99,8.01,AU,07/28/2020
Jalu,Northern,29.03,21.55,74.21,74.21,56,0,9.31,LY,07/28/2020
Anadyr,Northern,64.75,177.48,62.6,62.01,72,75,13.42,RU,07/28/2020
Bulgan,Northern,48.81,103.53,68.07,68.07,59,0,5.66,MN,07/28/2020
Kouango,Northern,4.99,19.96,68.85,68.85,95,96,1.14,CF,07/28/2020
Cordele,Northern,31.96,-83.78,80.6,79.0,78,1,3.36,US,07/28/2020
Salalah,Northern,17.02,54.09,78.8,78.8,94,40,4.7,OM,07/28/2020
Karratha,Southern,-20.74,116.85,77.16,77.16,21,13,16.55,AU,07/28/2020
Gamba,Southern,-2.65,10.0,71.98,71.98,81,45,5.48,GA,07/28/2020
Richards Bay,Southern,-28.78,32.04,57.18,57.18,83,3,6.33,ZA,07/28/2020
Tabas,Northern,33.6,56.92,86.0,86.0,20,0,2.24,IR,07/28/2020
Dukat,Northern,62.55,155.55,75.36,75.36,34,4,16.91,RU,07/28/2020
Kumul,Northern,42.8,93.45,87.49,87.49,22,88,14.54,CN,07/28/2020
Kirakira,Southern,-10.45,161.92,84.9,84.9,73,74,9.48,SB,07/28/2020
Tacoronte,Northern,28.48,-16.41,70.0,64.4,93,90,20.8,ES,07/28/2020
Puerto Peñasco,Northern,31.32,-113.53,89.01,89.01,61,0,1.99,MX,07/28/2020
San Patricio,Northern,19.22,-104.7,84.2,84.2,79,75,0.87,MX,07/28/2020
Vestmannaeyjar,Northern,63.44,-20.27,50.13,50.13,77,0,19.71,IS,07/28/2020
Warwick,Northern,41.7,-71.42,82.99,77.0,61,1,8.05,US,07/28/2020
Palmerston,Southern,-12.49,130.98,82.99,82.4,20,80,10.29,AU,07/28/2020
Wewak,Southern,-3.55,143.63,84.65,84.65,67,14,5.99,PG,07/28/2020
Leh,Northern,34.17,77.58,61.84,61.84,37,6,6.24,IN,07/28/2020
Ploemeur,Northern,47.73,-3.43,55.0,51.8,87,11,4.7,FR,07/28/2020
Tessalit,Northern,20.2,1.01,83.7,83.7,50,50,1.61,ML,07/28/2020
Trofors,Northern,65.53,13.41,60.8,60.01,67,32,8.05,NO,07/28/2020
Mangaratiba,Southern,-22.96,-44.04,70.79,70.79,75,0,7.02,BR,07/28/2020
Batagay-Alyta,Northern,67.8,130.41,56.95,56.95,50,94,4.38,RU,07/28/2020
Arraial do Cabo,Southern,-22.97,-42.03,71.62,71.62,81,0,24.4,BR,07/28/2020
Kruisfontein,Southern,-34.0,24.73,49.73,49.73,59,0,7.02,ZA,07/28/2020
Guerrero Negro,Northern,27.98,-114.06,67.86,67.86,85,0,18.7,MX,07/28/2020
Sydney Mines,Northern,46.24,-60.22,62.01,60.8,100,75,6.93,CA,07/28/2020
Vila Franca do Campo,Northern,37.72,-25.43,71.6,71.6,88,40,1.79,PT,07/28/2020
Yenagoa,Northern,4.92,6.26,73.99,73.99,93,100,5.79,NG,07/28/2020
Susanville,Northern,40.42,-120.65,73.4,62.01,38,1,10.29,US,07/28/2020
Araxá,Southern,-19.59,-46.94,63.46,63.46,74,89,1.88,BR,07/28/2020
Iporá,Southern,-16.44,-51.12,66.45,66.45,47,0,1.74,BR,07/28/2020
Bandarbeyla,Northern,9.49,50.81,79.92,79.92,68,0,20.56,SO,07/28/2020
